Sukupuoli,Ekr-lyhenne,Vaalipiiri,Etunimi,Sukunimi
mi,sd,Vaasan läänin vaalipiiri,Markus,Aaltonen
mi,sd,Oulun vaalipiiri,Matti,Ahde
mi,kesk,Helsingin vaalipiiri,Esko,Aho
mi,kesk,Vaasan vaalipiiri,Hannu,Aho
na,vas,Turun läänin pohjoinen vaalipiiri,Raila,Aho
mi,kesk,Vaasan vaalipiiri,Esko,Ahonen
mi,kd,Satakunnan vaalipiiri,Sauli,Ahvenjärvi
mi,kok,Uudenmaan vaalipiiri,Eero,Akaan-Penttilä
na,kok,Vaasan läänin vaalipiiri,Kirsti,Ala-Harja
na,Sdp,Uudenmaan läänin vaalipiiri,Pirjo,Ala-Kapee-Hakulinen
mi,kesk,Oulun läänin vaalipiiri,Juhani,Alaranta
mi,Skdl,Helsingin kaupungin vaalipiiri,Ele,Alenius
na,sd,Uudenmaan vaalipiiri,Arja,Alho
mi,skl,Kymen läänin vaalipiiri,Esko,Almgren
na,Skdl,Hämeen läänin pohjoinen vaalipiiri,Ulla-Leena,Alppi
mi,vas,Uudenmaan vaalipiiri,Claes,Andersson
na,vihr,Varsinais-Suomen vaalipiiri,Janina,Andersson
na,vihr,Uudenmaan vaalipiiri,Ulla,Anttila
na,kok,Helsingin vaalipiiri,Pirjo-Riitta,Antvuori
mi,vas,Lapin läänin vaalipiiri,Asko,Apukka
mi,sd,Pirkanmaan vaalipiiri,Marko,Asell
na,kok,Helsingin vaalipiiri,Sirpa,Asko-Seljavaara
na,vas,Turun läänin eteläinen vaalipiiri,Heli,Astala
na,kesk,Lapin vaalipiiri,Maria Kaisa,Aula
mi,kesk,Hämeen vaalipiiri,Risto,Autio
mi,kok,Lapin vaalipiiri,Heikki,Autto
mi,sd,Etelä-Savon vaalipiiri,Jouni,Backman
mi,Sdp,Oulun läänin vaalipiiri,Aarno,von Bell
na,kesk,Vaasan läänin vaalipiiri,Rose-Marie,Björkenheim
mi,Sdp,Helsingin kaupungin vaalipiiri,Ilkka-Christian,Björklund
mi,Rkp,Vaasan läänin vaalipiiri,Gustav,Björkstrand
mi,Lkp,Hämeen läänin pohjoinen vaalipiiri,Olavi,Borg
na,vihr,Uudenmaan vaalipiiri,Tuija,Brax
mi,r,Helsingin vaalipiiri,Klaus,Bremer
mi,sd,Helsingin vaalipiiri,Arto,Bryggare
mi,Sdp,Uudenmaan läänin vaalipiiri,Kaj,Bärlund
na,vihr,Pohjois-Karjalan vaalipiiri,Tarja,Cronberg
mi,r,Helsingin vaalipiiri,Jörn,Donner
na,kok,Uudenmaan vaalipiiri,Kaarina,Dromberg
na,Sdp,Turun läänin eteläinen vaalipiiri,Paula,Eenilä
mi,Skdl,Lapin läänin vaalipiiri,Mikko,Ekorre
mi,sd,Satakunnan vaalipiiri,Mikko,Elo
mi,r,Varsinais-Suomen vaalipiiri,Jan-Erik,Enestam
na,kok,Uudenmaan vaalipiiri,Merikukka,Forsius
mi,Sdp,Helsingin kaupungin vaalipiiri,Ralf,Friberg
na,r,Uudenmaan vaalipiiri,Christina,Gestrin
mi,r,Vaasan vaalipiiri,Nils-Anders,Granvik
mi,r,Vaasan vaalipiiri,Lars Erik,Gästgivars
na,vihr,Oulun vaalipiiri,Satu,Haapanen
mi,kok,Hämeen läänin pohjoinen vaalipiiri,Pekka,Haarla
na,Sdp,Keski-Suomen läänin vaalipiiri,Iiris,Hacklin
mi,kok,Uudenmaan läänin vaalipiiri,Matti,Hakala
mi,kok,Helsingin vaalipiiri,Juha,Hakola
mi,ps,Helsingin vaalipiiri,Jussi,Halla-aho
na,sd,Helsingin vaalipiiri,Tarja,Halonen
mi,Skyp,Kymen läänin vaalipiiri,Matti,Hannola
na,kok,Uudenmaan vaalipiiri,Leena,Harkimo
mi,kesk,Kymen läänin vaalipiiri,Heikki,Hasu
na,vihr,Uudenmaan vaalipiiri,Heidi,Hautala
mi,skl,Turun läänin eteläinen vaalipiiri,Sauli,Hautala
mi,ps,Varsinais-Suomen vaalipiiri,Lauri,Heikkilä
mi,kesk,Oulun läänin vaalipiiri,Kauko,Heikkinen
mi,kok,Satakunnan vaalipiiri,Olli-Pekka,Heinonen
mi,sd,Uudenmaan vaalipiiri,Klaus,Hellberg
mi,Rkp,Uudenmaan läänin vaalipiiri,Pähr-Einar,Hellström
mi,Sdp,Kymen läänin vaalipiiri,Olli,Helminen
mi,kok,Varsinais-Suomen vaalipiiri,Pertti,Hemmilä
na,kok,Uudenmaan vaalipiiri,Hanna-Leena,Hemming
na,kok,Uudenmaan läänin vaalipiiri,Elsi,Hetemäki-Olander
na,kok,Turun läänin eteläinen vaalipiiri,Liisa,Hilpelä
na,kd,Satakunnan vaalipiiri,Leea,Hiltunen
na,sd,Helsingin vaalipiiri,Rakel,Hiltunen
na,Skdl,Keski-Suomen läänin vaalipiiri,Inger,Hirvelä López
mi,kok,Hämeen läänin pohjoinen vaalipiiri,Matti,Hokkanen
na,kok,Satakunnan vaalipiiri,Anne,Holmlund
mi,sd,Pohjois-Karjalan läänin vaalipiiri,Raimo,Holopainen
mi,Skdl,Turun läänin eteläinen vaalipiiri,Joel,Hongisto
